State,Year,Quarter,District,Count,Amount
Jharkhand,2018,2,dhanbad,520547,503649314.0895539
Jharkhand,2018,2,ranchi,501072,820976014.2247977
Jharkhand,2018,2,bokaro,396119,398722258.97476417
Jharkhand,2018,2,east singhbhum,323829,467008622.29054534
Jharkhand,2018,2,hazaribagh,214298,371520189.2845477
Jharkhand,2018,2,giridih,172783,267172044.8851918
Jharkhand,2018,2,palamu,131021,325976624.8230643
Jharkhand,2018,2,ramgarh,120655,173725383.96619216
Jharkhand,2018,2,saraikela kharsawan,117686,128312051.58743984
Jharkhand,2018,2,deoghar,96438,148363954.84218916
Jharkhand,2018,3,dhanbad,2064271,1383326534.6497748
Jharkhand,2018,3,bokaro,1606672,1103642100.617909
Jharkhand,2018,3,ranchi,1040485,1373309866.0578432
Jharkhand,2018,3,east singhbhum,716556,825516933.9712927
Jharkhand,2018,3,hazaribagh,542701,663718370.6947035
Jharkhand,2018,3,giridih,334079,457115389.39227813
Jharkhand,2018,3,saraikela kharsawan,290800,265695487.6867497
Jharkhand,2018,3,ramgarh,264474,310366602.6469911
Jharkhand,2018,3,palamu,166304,405648506.51824975
Jharkhand,2018,3,deoghar,152113,198908051.87959886
Jharkhand,2018,4,dhanbad,1062585,1128043527.8329785
Jharkhand,2018,4,ranchi,997887,1817673935.7006779
Jharkhand,2018,4,bokaro,798913,898225421.2948879
Jharkhand,2018,4,east singhbhum,616640,990453488.2225387
Jharkhand,2018,4,hazaribagh,454790,843013094.1120856
Jharkhand,2018,4,giridih,364032,575695972.035529
Jharkhand,2018,4,ramgarh,245189,412829670.89178383
Jharkhand,2018,4,saraikela kharsawan,242853,296733243.1740029
Jharkhand,2018,4,palamu,234378,620094977.5658048
Jharkhand,2018,4,deoghar,152383,236116834.01685226
Jharkhand,2018,1,ranchi,356622,434234048.4962647
Jharkhand,2018,1,dhanbad,340878,271973005.2993548
Jharkhand,2018,1,bokaro,263441,210067688.75698972
Jharkhand,2018,1,east singhbhum,220276,257229540.65490007
Jharkhand,2018,1,hazaribagh,150709,171297280.2361688
Jharkhand,2018,1,giridih,131905,131409945.9448334
Jharkhand,2018,1,ramgarh,97459,85844869.66475454
Jharkhand,2018,1,palamu,84608,128141542.2688809
Jharkhand,2018,1,saraikela kharsawan,83449,74573902.81878725
Jharkhand,2018,1,deoghar,70058,91100585.73781538
Jharkhand,2020,2,ranchi,4656822,10380666521.918905
Jharkhand,2020,2,dhanbad,2069288,2849779826.6447525
Jharkhand,2020,2,bokaro,2042748,2612705534.8983884
Jharkhand,2020,2,east singhbhum,1939867,2840155683.786606
Jharkhand,2020,2,hazaribagh,1409834,2588140607.138953
Jharkhand,2020,2,giridih,1094408,1886588905.3434167
Jharkhand,2020,2,palamu,977293,2564725761.923155
Jharkhand,2020,2,ramgarh,881527,1300903967.4575238
Jharkhand,2020,2,garhwa,599059,1748704415.4989939
Jharkhand,2020,2,saraikela kharsawan,587527,766916078.3234978
Jharkhand,2020,3,ranchi,6079407,12343755027.43895
Jharkhand,2020,3,bokaro,2914909,3873518361.5365276
Jharkhand,2020,3,dhanbad,2897219,4328813599.670498
Jharkhand,2020,3,east singhbhum,2722454,4116728544.957737
Jharkhand,2020,3,hazaribagh,2043474,3943736117.7577147
Jharkhand,2020,3,giridih,1577805,3133920203.091176
Jharkhand,2020,3,ramgarh,1222166,1969854247.423759
Jharkhand,2020,3,palamu,1186565,3029928179.968627
Jharkhand,2020,3,saraikela kharsawan,813102,1185068471.0752506
Jharkhand,2020,3,deoghar,696852,1245632763.5577192
Jharkhand,2020,4,ranchi,8317124,15659917253.67704
Jharkhand,2020,4,dhanbad,4393208,6659934484.806873
Jharkhand,2020,4,bokaro,4305268,5846478510.257725
Jharkhand,2020,4,east singhbhum,4179679,6186133250.919454
Jharkhand,2020,4,hazaribagh,3130010,6000420755.6344385
Jharkhand,2020,4,giridih,2130742,4345307139.123084
Jharkhand,2020,4,palamu,1861344,4863829078.659186
Jharkhand,2020,4,ramgarh,1794655,3007749575.42791
Jharkhand,2020,4,saraikela kharsawan,1193402,1733160460.8949594
Jharkhand,2020,4,garhwa,1066915,3132518917.570641
Jharkhand,2020,1,ranchi,5132983,10593904951.012724
Jharkhand,2020,1,dhanbad,2193642,2650637205.600994
Jharkhand,2020,1,east singhbhum,1934537,3099559621.386287
Jharkhand,2020,1,bokaro,1819760,2254545205.3164005
Jharkhand,2020,1,hazaribagh,1199387,2376853316.738264
Jharkhand,2020,1,giridih,724320,1422925290.0151396
Jharkhand,2020,1,palamu,715476,2015033114.7157931
Jharkhand,2020,1,ramgarh,695324,1086274774.7268305
Jharkhand,2020,1,saraikela kharsawan,595845,742590781.6715591
Jharkhand,2020,1,deoghar,434837,757609415.2029015
Jharkhand,2022,2,ranchi,33436768,52558538612.80676
Jharkhand,2022,2,dhanbad,12714016,18944522591.96142
Jharkhand,2022,2,bokaro,11696455,15638269878.460331
Jharkhand,2022,2,hazaribagh,11022611,19190223094.567883
Jharkhand,2022,2,east singhbhum,10983841,16073962066.52158
Jharkhand,2022,2,giridih,9232036,16356999528.590525
Jharkhand,2022,2,palamu,7012344,14888012258.109343
Jharkhand,2022,2,ramgarh,5430685,8627263910.65763
Jharkhand,2022,2,koderma,3886718,7755155139.208385
Jharkhand,2022,2,garhwa,3818360,9098354638.470043
Jharkhand,2022,3,ranchi,39158673,58067147243.969315
Jharkhand,2022,3,east singhbhum,19160036,27908242815.704758
Jharkhand,2022,3,dhanbad,14284651,20625687079.700974
Jharkhand,2022,3,hazaribagh,11491587,17774103981.03254
Jharkhand,2022,3,bokaro,11304820,14727741169.334763
Jharkhand,2022,3,giridih,7398254,11920111086.952282
Jharkhand,2022,3,palamu,6770650,12637980151.710459
Jharkhand,2022,3,ramgarh,5408270,7941969760.320181
Jharkhand,2022,3,deoghar,4037018,6301182422.022277
Jharkhand,2022,3,koderma,3729215,6719612545.072683
Jharkhand,2022,4,ranchi,41821467,63819119475.171005
Jharkhand,2022,4,east singhbhum,24875930,36996606734.88582
Jharkhand,2022,4,dhanbad,18383284,27724792259.010098
Jharkhand,2022,4,bokaro,14851022,20173927151.750202
Jharkhand,2022,4,hazaribagh,13124400,20746013914.46022
Jharkhand,2022,4,giridih,8482602,13630978502.274261
Jharkhand,2022,4,palamu,8295151,15143138186.199799
Jharkhand,2022,4,ramgarh,6829219,10303594244.585339
Jharkhand,2022,4,garhwa,4570205,8930245496.96877
Jharkhand,2022,4,deoghar,4399812,6832642718.442626
Jharkhand,2022,1,ranchi,28253540,46123330242.43965
Jharkhand,2022,1,dhanbad,10895145,16014299345.818779
Jharkhand,2022,1,bokaro,9906035,13303827043.387669
Jharkhand,2022,1,east singhbhum,9576498,14369232011.490187
Jharkhand,2022,1,hazaribagh,9038043,16229125858.21476
Jharkhand,2022,1,giridih,7126103,13042929318.085455
Jharkhand,2022,1,palamu,5805932,13079772637.081738
Jharkhand,2022,1,ramgarh,4563913,7357524201.067262
Jharkhand,2022,1,koderma,3110218,6307772153.647697
