State,Year,Quarter,District,Registered_user
Jharkhand,2018,2,ranchi,216019
Jharkhand,2018,2,dhanbad,181348
Jharkhand,2018,2,east singhbhum,142493
Jharkhand,2018,2,bokaro,139675
Jharkhand,2018,2,hazaribagh,78856
Jharkhand,2018,2,giridih,63248
Jharkhand,2018,2,ramgarh,51846
Jharkhand,2018,2,deoghar,50575
Jharkhand,2018,2,palamu,45659
Jharkhand,2018,2,saraikela kharsawan,43186
Jharkhand,2018,3,ranchi,265341
Jharkhand,2018,3,dhanbad,219103
Jharkhand,2018,3,east singhbhum,176668
Jharkhand,2018,3,bokaro,167183
Jharkhand,2018,3,hazaribagh,99502
Jharkhand,2018,3,giridih,80440
Jharkhand,2018,3,deoghar,63814
Jharkhand,2018,3,ramgarh,63704
Jharkhand,2018,3,palamu,59382
Jharkhand,2018,3,saraikela kharsawan,54706
Jharkhand,2018,4,ranchi,326599
Jharkhand,2018,4,dhanbad,268439
Jharkhand,2018,4,east singhbhum,217406
Jharkhand,2018,4,bokaro,202242
Jharkhand,2018,4,hazaribagh,126167
Jharkhand,2018,4,giridih,103118
Jharkhand,2018,4,deoghar,80669
Jharkhand,2018,4,ramgarh,78772
Jharkhand,2018,4,palamu,77478
Jharkhand,2018,4,saraikela kharsawan,68611
Jharkhand,2018,1,ranchi,159444
Jharkhand,2018,1,dhanbad,130195
Jharkhand,2018,1,east singhbhum,103016
Jharkhand,2018,1,bokaro,101673
Jharkhand,2018,1,hazaribagh,56421
Jharkhand,2018,1,giridih,45940
Jharkhand,2018,1,ramgarh,37875
Jharkhand,2018,1,deoghar,35229
Jharkhand,2018,1,palamu,31788
Jharkhand,2018,1,saraikela kharsawan,31177
Jharkhand,2020,2,ranchi,658759
Jharkhand,2020,2,dhanbad,519732
Jharkhand,2020,2,east singhbhum,434360
Jharkhand,2020,2,bokaro,380895
Jharkhand,2020,2,hazaribagh,276976
Jharkhand,2020,2,giridih,220721
Jharkhand,2020,2,deoghar,210740
Jharkhand,2020,2,palamu,183579
Jharkhand,2020,2,ramgarh,165378
Jharkhand,2020,2,saraikela kharsawan,136923
Jharkhand,2020,3,ranchi,722352
